FACILITY,PRODUCT,PRODUCT_DESCRIPTION,PRODGROUP1,PRODGROUP2,PRODGROUP3,LEN
A48,H68WXLFV B B BF RK0JB,TGLUP4_B2_Pullback_BF,HDMX,8PTGERLAKEMB,TGLUP4,21
A48,H68ALNSV B J 4T RMJ0B,RPLP682_J2_HVM 66J BM,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNMV B J 4T RMHZB,RPLP682_J2_HVM 66J BM,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNMV B J 4T RMJ0B,RPLP682_J2_HVM 66J BM,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNMV B J 4T RMHYB,RPLP682_J2_HVM 66J BM,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNTV B J 4T RMJ7B,RPLP682_J2_HVM 66T BM,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNAV B J 4T RMHYB,RPLP682_J2_HVM 66J BM,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ASLJV   Q 6N RMLWB,RPLP282_PRQ_2_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLJV   Q 6N RMLTB,RPLP282_PRQ_2_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLHV   Q BF RMLTB,RPLP282_PRQ_2_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLHV   Q 6N RMLXB,RPLP282_PRQ_2_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLQV   Q 4N RMLXB,RPLP282_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLQV   Q 4N RMLSB,RPLP282_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLJV   Q 4N RMLTB,RPLP282_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLFV   Q 4N RMM0B,RPLP282_HVM_1_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLQV   Q 6N RMLZB,RPLP282_PRQ_2_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ALNAV B J 5N RMHZB,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNSV B J 5N RMJ7B,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNMV B J 5N RMJ8B,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNSV B J 5N RMJ5B,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNMV B J 5N RMHXB,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNMV B J 5N RMJ5B,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ASLQV   Q 4T RMM0B,RPLP282_PRQ_2_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLJV   Q 4T RMLSB,RPLP282_PRQ_2_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLHV   Q 4T RMLXB,RPLP282_PRQ_2_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ALNAV B J 5N RMJ7B,RPLP682_J2_FC_1Step,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ASLFV   Q 4T RMM0B,RPLP282_PRQ_2_Step,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ALNAV B J X1 RMHYB,RPLP682_IW_pullback_route_setup,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNSV B J X1 RMJ0B,RPLP682_IW_pullback_route_setup,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNSV B J X1 RMJ8B,RPLP682_IW_pullback_route_setup,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ALNMV B J X1 RMHYB,RPLP682_IW_pullback_route_setup,HDMX,8PRAPTORLKMB,RPLP682,21
A48,H68ASLFV   Q X1 RMLTB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLQV   Q X1 RMLVB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLQV   Q X1 RMLWB,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLJV   Q X1 RMM0B,RPLP282_IW_pullback_route_setup,HDMX,8PRAPTORLKD,RPLP282,21
A48,H68ASLMV   Q 6N RMLUB,RPLP282_PRQ_IT,HDMX,8PRAPTORLKD,RPLP282,21
