question_id,module_id,module_key,required,visible_default,source_rule,notes
product_name,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
product_name,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
product_name,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
product_name,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
product_name,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
product_name,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
product_name,7,V8,Y,Y,"0 common","Common field applies to all modules"
product_name,8,OLB,Y,Y,"0 common","Common field applies to all modules"
product_name,9,STHI,Y,Y,"0 common","Common field applies to all modules"
product_name,10,HSX,Y,Y,"0 common","Common field applies to all modules"
prodgroup3,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
prodgroup3,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
prodgroup3,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
prodgroup3,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
prodgroup3,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
prodgroup3,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
prodgroup3,7,V8,Y,Y,"0 common","Common field applies to all modules"
prodgroup3,8,OLB,Y,Y,"0 common","Common field applies to all modules"
prodgroup3,9,STHI,Y,Y,"0 common","Common field applies to all modules"
prodgroup3,10,HSX,Y,Y,"0 common","Common field applies to all modules"
operation,1,LCBI,Y,Y,"0 common","Common field applies to all modules"
operation,2,HDBI,Y,Y,"0 common","Common field applies to all modules"
operation,3,HDMx_AHMT,Y,Y,"0 common","Common field applies to all modules"
operation,4,HDMx_Class,Y,Y,"0 common","Common field applies to all modules"
operation,5,HDMx_Cfuse,Y,Y,"0 common","Common field applies to all modules"
operation,6,HDMx_EQA,Y,Y,"0 common","Common field applies to all modules"
operation,7,V8,Y,Y,"0 common","Common field applies to all modules"
operation,8,OLB,Y,Y,"0 common","Common field applies to all modules"
operation,9,STHI,Y,Y,"0 common","Common field applies to all modules"
operation,10,HSX,Y,Y,"0 common","Common field applies to all modules"
tp_name,1,LCBI,Y,Y,"0 common","ME-owned common field"
tp_name,2,HDBI,Y,Y,"0 common","ME-owned common field"
