PdID,SolutionID,Status,""
ADLG881,19,N/A,""
ADLG881,20,N/A,""
ADLG881,21,N/A,""
ADLG881,22,N/A,""
ADLG881,23,N/A,""
ADLG881,24,N/A,""
ADLG881,25,N/A,""
ADLG881,26,N/A,""
ADLG881,27,N/A,""
ADLG881,28,N/A,""
ADLG881,29,N/A,""
ADLG881,30,N/A,""
ADLG881,31,N/A,""
ADLG881,32,N/A,""
ADLG881,33,N/A,""
ADLG881,34,N/A,""
ADLG881,35,N/A,""
ADLG881,36,N/A,""
ADLG881,37,N/A,""
ADLG881,38,N/A,""
ADLG881,39,N/A,""
ADLG881,40,N/A,""
ADLG881,41,N/A,""
ADLG881,42,N/A,""
ADLG881,43,N/A,""
ADLG881,44,N/A,""
ADLG881,45,N/A,""
ADLG881,46,N/A,""
LNLM442,19,N/A,""
LNLM442,20,N/A,""
LNLM442,21,N/A,""
LNLM442,22,N/A,""
LNLM442,23,N/A,""
LNLM442,24,N/A,""
LNLM442,25,N/A,""
LNLM442,26,N/A,""
LNLM442,27,N/A,""
LNLM442,28,N/A,""
LNLM442,29,N/A,""
LNLM442,30,N/A,""
LNLM442,31,N/A,""
LNLM442,32,N/A,""
LNLM442,33,N/A,""
LNLM442,34,N/A,""
LNLM442,35,N/A,""
LNLM442,36,N/A,""
LNLM442,37,N/A,""
LNLM442,38,N/A,""
LNLM442,39,N/A,""
LNLM442,40,N/A,""
LNLM442,41,N/A,""
LNLM442,42,N/A,""
LNLM442,43,N/A,""
LNLM442,44,N/A,""
LNLM442,45,N/A,""
LNLM442,46,N/A,""
